"id","name","created_at","updated_at","position"
87,"Lihult-Kultur","2011-07-28 15:41:35.250558","2011-07-28 15:41:35.250558",1
88,"Chalcolithic","2011-10-12 13:44:08.353555","2011-10-12 13:44:08.353555",1
89,"Aurignacien","2011-10-13 20:25:17","",
90,"Bronzezeit","2011-10-13 20:25:17","",
91,"Chalcolithic/Bronzezeit","2011-10-13 20:25:17","",
92,"Eisenzeit","2011-10-13 20:25:17","",
93,"Gravettien","2011-10-13 20:25:17","",
94,"Magdalénien","2011-10-13 20:25:17","",
107,"Cernavoda culture","2012-04-30 10:59:06.17596","2012-04-30 10:59:06.17596",1
96,"Moustérien","2011-10-13 20:25:17","",
97,"Solutréen","2011-10-13 20:25:17","",
108,"Starcevo-Körös-Criș culture","2012-04-30 11:19:34.674165","2012-04-30 11:19:34.674165",1
109,"Karanovo culture","2012-04-30 12:21:27.883494","2012-04-30 12:21:27.883494",1
110,"Tisza culture","2012-05-02 09:32:26.260265","2012-05-02 09:32:26.260265",1
99,"Blicquy","2011-10-26 10:46:53.395271","2011-10-26 10:46:53.395271",1
100,"Comb Ware","2011-11-21 15:01:07.942402","2011-11-21 15:01:07.942402",1
101,"Stein-group","2011-12-07 11:24:22.040677","2011-12-07 11:24:22.040677",1
102,"late Ertebølle / earliest Neolithic","2012-02-03 15:33:22.791699","2012-02-03 15:33:22.791699",1
103,"Maglemose","2012-02-06 12:53:05.125516","2012-02-06 12:53:05.125516",1
104,"Kongmose","2012-02-06 12:53:27.598714","2012-02-06 12:53:27.598714",1
105,"trichterbecher","2012-02-07 17:15:29.766569","2012-02-07 17:15:29.766569",1
111,"Gumelniţa culture","2012-05-02 09:51:17.237642","2012-05-02 09:51:17.237642",1
112,"Boian culture","2012-05-02 10:00:19.349904","2012-05-02 10:00:19.349904",1
119,"Hamangia culture","2012-06-13 10:23:54.230061","2012-06-13 10:23:54.230061",1
114,"Vinča culture","2012-05-02 11:49:06.078268","2012-05-02 11:49:06.078268",1
115,"Lepenski Vir","2012-05-09 09:44:28.025633","2012-05-09 09:44:28.025633",1
116,"Kakanj Culture","2012-05-14 10:06:33.249052","2012-05-14 10:06:33.249052",1
117,"Butmir Culture","2012-05-14 10:16:32.67535","2012-05-14 10:16:32.67535",1
118,"Saligos culture","2012-05-18 12:38:44.938708","2012-05-18 12:38:44.938708",1
120,"Ockergrab kultur","2012-06-27 11:47:17.967712","2012-06-27 11:47:17.967712",1
121,"Cucuteni culture","2012-06-27 12:12:37.986339","2012-06-27 12:12:37.986339",1
122,"Sălcuţa-Kultur","2012-06-27 12:19:09.479477","2012-06-27 12:19:09.479477",1
123,"Cotofeni Kultur","2012-06-27 12:40:38.855144","2012-06-27 12:40:38.855144",1
124,"Balaton culture","2012-06-29 11:22:41.916941","2012-06-29 11:22:41.916941",1
125,"Bug-Dniester","2013-04-10 13:38:04.090193","2013-04-10 13:38:04.090193",1
126,"Danilo","2013-04-10 13:39:27.88965","2013-04-10 13:39:27.88965",1
127,"Dimini","2013-04-10 13:40:46.657144","2013-04-10 13:40:46.657144",1
128,"KGK","2013-04-10 13:41:46.322867","2013-04-10 13:41:46.322867",1
129,"Szakalhat","2013-04-10 13:48:38.219989","2013-04-10 13:48:38.219989",1
130,"Djeitun","2013-04-10 13:52:29.878673","2013-04-10 13:52:29.878673",1
131,"Epipaleolithic","2013-04-10 14:45:19.186956","2013-04-10 14:45:19.186956",1
132,"Herpály","2013-04-10 14:46:51.481575","2013-04-10 14:46:51.481575",1
133,"Hissar","2013-04-10 14:48:13.643126","2013-04-10 14:48:13.643126",1
134,"Impresso","2013-04-10 14:49:26.900761","2013-04-10 14:49:26.900761",1
139,"Tiszapolgár","2013-04-10 14:59:25.650641","2013-04-10 14:59:25.650641",1
141,"Ubaid","2013-04-10 15:14:42.378844","2013-04-10 15:14:42.378844",1
144,"Iblis","2013-04-10 15:53:45.197841","2013-04-10 15:53:45.197841",1
135,"Sesklo","2013-04-10 14:52:03.146162","2013-04-10 14:52:03.146162",1
136,"Protosesklo","2013-04-10 14:54:30.77664","2013-04-10 14:54:30.77664",1
137,"Protokakanj","2013-04-10 14:54:58.923286","2013-04-10 14:54:58.923286",1
138,"Sredny-Stog","2013-04-10 14:56:39.94026","2013-04-10 14:56:39.94026",1
140,"Tripolje","2013-04-10 15:00:19.47749","2013-04-10 15:00:19.47749",1
142,"Pre-Pottery Neolithic","2013-04-10 15:37:32.870782","2013-04-10 15:37:32.870782",1
143,"Banesh","2013-04-10 15:52:05.97125","2013-04-10 15:52:05.97125",1
145,"Yahya","2013-04-11 07:37:10.018562","2013-04-11 07:37:10.018562",1
146,"Veluska Tumba","2013-04-11 07:40:14.437849","2013-04-11 07:40:14.437849",1
147,"Uruk","2013-04-11 07:42:23.648651","2013-04-11 07:42:23.648651",1
148," Topolnica-Akropotamos","2013-04-11 07:43:46.426999","2013-04-11 07:43:46.426999",1
149,"Amuq","2013-04-11 07:55:04.625761","2013-04-11 07:55:04.625761",1
150,"Amri Group","2013-04-11 08:04:58.562556","2013-04-11 08:04:58.562556",1
151,"Balakot","2013-04-11 08:05:33.051526","2013-04-11 08:05:33.051526",1
152,"Kachi","2013-04-11 08:06:25.71165","2013-04-11 08:06:25.71165",1
153,"Kechi Beg","2013-04-11 08:06:56.113328","2013-04-11 08:06:56.113328",1
154,"Boian","2013-04-11 08:33:28.534521","2013-04-11 08:33:28.534521",1
155,"Ägäisches Frühneolithikum","2013-04-11 08:34:44.294555","2013-04-11 08:34:44.294555",1
156,"Baden-Kostolac","2013-04-11 08:39:10.936573","2013-04-11 08:39:10.936573",1
157,"Namazga","2013-04-11 08:40:30.705852","2013-04-11 08:40:30.705852",1
158,"Natufien","2013-04-11 08:40:55.751271","2013-04-11 08:40:55.751271",1
159,"Dnieper–Donets","2013-04-11 08:47:11.930925","2013-04-11 08:47:11.930925",1
160,"Thessalisches Frühes Spätneolithikum","2013-04-11 08:51:20.556326","2013-04-11 08:51:20.556326",1
161,"Äneolithikum","2013-04-11 08:55:30.994158","2013-04-11 08:55:30.994158",1
162,"Vorsesklo","2013-04-11 09:04:32.049891","2013-04-11 09:04:32.049891",1
163,"Bakun","2013-04-11 09:15:12.780635","2013-04-11 09:15:12.780635",1
164,"Baghin","2013-04-11 09:15:38.292201","2013-04-11 09:15:38.292201",1
165,"Dikili-Tash-Slatino","2013-04-11 09:17:37.843321","2013-04-11 09:17:37.843321",1
166,"Thessalisches Spätneolithikum","2013-04-11 09:19:37.939859","2013-04-11 09:19:37.939859",1
167,"Erimi","2013-04-11 09:21:36.60024","2013-04-11 09:21:36.60024",1
168,"Pottery Neolithic","2013-04-11 09:24:09.0131","2013-04-11 09:24:09.0131",1
169,"Dark Faced Burnished Ware","2013-04-11 09:25:18.067289","2013-04-11 09:25:18.067289",1
170,"Cheshmeh Ali","2013-04-11 09:28:06.550397","2013-04-11 09:28:06.550397",1
171,"Soghun","2013-04-11 09:30:23.184081","2013-04-11 09:30:23.184081",1
172,"ASPRO 5","2013-04-11 09:31:19.763075","2013-04-11 09:31:19.763075",1
173,"ASPRO 6","2013-04-11 09:31:38.875263","2013-04-11 09:31:38.875263",1
174,"Badari","2013-04-11 09:32:23.477808","2013-04-11 09:32:23.477808",1
175,"Jemdet Nasr","2013-04-11 10:37:39.374066","2013-04-11 10:37:39.374066",1
176,"Lapui","2013-04-11 10:50:23.975652","2013-04-11 10:50:23.975652",1
177,"Krivodol-Salcuta-Bubanj Hum (KSBh)","2013-04-11 10:52:45.2098","2013-04-11 10:52:45.2098",1
178,"Fayum A","2013-04-11 10:56:23.387394","2013-04-11 10:56:23.387394",1
179,"Frühneolithikum","2013-04-11 11:18:44.937186","2013-04-11 11:18:44.937186",1
180,"Ghassulian","2013-04-11 11:31:43.551928","2013-04-11 11:31:43.551928",1
181,"Halaf","2013-04-11 11:42:54.938204","2013-04-11 11:42:54.938204",1
182,"Harifian","2013-04-11 11:43:41.852163","2013-04-11 11:43:41.852163",1
183,"Hassuna","2013-04-11 11:43:57.124117","2013-04-11 11:43:57.124117",1
184,"Helmand","2013-04-11 11:45:04.694604","2013-04-11 11:45:04.694604",1
185,"Hotnitsa","2013-04-11 11:46:49.775161","2013-04-11 11:46:49.775161",1
186,"Khiamian","2013-04-11 11:52:11.55168","2013-04-11 11:52:11.55168",1
187,"Kura-Arax","2013-04-11 12:02:30.078515","2013-04-11 12:02:30.078515",1
188,"Marica","2013-04-11 12:03:18.4509","2013-04-11 12:03:18.4509",1
189,"Vlaška","2013-04-11 12:07:30.407913","2013-04-11 12:07:30.407913",1
190,"Mundigak","2013-04-11 12:08:37.211826","2013-04-11 12:08:37.211826",1
191,"Naqada","2013-04-11 12:09:57.884207","2013-04-11 12:09:57.884207",1
192,"Sialk","2013-04-11 12:13:16.002917","2013-04-11 12:13:21.48572",1
193,"Hasanlu","2013-04-11 12:19:55.802257","2013-04-11 12:19:55.802257",1
194,"Susa","2013-04-11 12:23:07.512797","2013-04-11 12:23:07.512797",1
195,"Hoseinabad","2013-04-11 12:23:30.588322","2013-04-11 12:23:30.588322",1
196,"Poljanica","2013-04-11 12:24:59.429","2013-04-11 12:24:59.429",1
197,"Pre-Majkop","2013-04-11 12:27:00.44602","2013-04-11 12:27:00.44602",1
198,"Proto-Elamite","2013-04-11 12:34:40.914581","2013-04-11 12:34:40.914581",1
199,"ASPRO 1","2013-04-11 12:36:15.481778","2013-04-11 12:36:15.481778",1
200,"Rachmani","2013-04-11 12:53:03.334707","2013-04-11 12:53:03.334707",1
201,"Spätneolithikum","2013-04-11 14:50:51.785034","2013-04-11 14:52:13.904864",1
202,"Shulaveri-Shomu","2013-04-11 14:53:20.374428","2013-04-11 14:53:20.374428",1
203,"Sursk-Dnepr","2013-04-11 14:53:53.120691","2013-04-11 14:53:53.120691",1
204,"Susiana","2013-04-11 14:55:32.470307","2013-04-11 14:55:32.470307",1
205,"ASPRO 7","2013-04-11 14:58:04.746596","2013-04-11 14:58:04.746596",1
206,"Troia","2013-04-11 14:58:19.056297","2013-04-11 14:58:19.056297",1
207,"Tureng","2013-04-11 15:00:39.985819","2013-04-11 15:00:39.985819",1
208,"Protostarcevo","2013-04-11 16:39:55.369562","2013-04-11 16:39:55.369562",1
209,"Südostbayerische Mittelneolithikum (SOB)","2014-03-28 13:23:19.912849","2014-03-28 13:23:19.912849",2
210,"Late Tripolye/Horodistea-Foltesti","2014-04-16 15:37:39.432284","2014-04-16 15:37:39.432284",3
